from,to
4 Noble Truths,8-fold Noble Path
6 Gradual Trainings,Virtue
6 Gradual Trainings,4 Noble Truths
8-fold Noble Path,Right View
8-fold Noble Path,Right Resolve
8-fold Noble Path,Right Speech
8-fold Noble Path,Right Action
8-fold Noble Path,Right Livelihood
8-fold Noble Path,Right Effort
8-fold Noble Path,Right Mindfulness
8-fold Noble Path,Right Concentration
37 Wings to Awakening,4 Establishings of Mindfulness
37 Wings to Awakening,4 Right Exertions
37 Wings to Awakening,4 Bases of Power
37 Wings to Awakening,5 Faculties
37 Wings to Awakening,5 Strengths
37 Wings to Awakening,7 Factors of Awakening
37 Wings to Awakening,8-fold Noble Path
Concentration,Right Effort
Concentration,Right Mindfulness
Concentration,Right Concentration
Discernement,Right View
Discernement,Right Resolve
Right Effort,4 Right Exertions
Right Mindfulness,4 Establishings of Mindfulness
Right View,4 Noble Truths
Virtue,Right Speech
Virtue,Right Action
Virtue,Right Livelihood
