id,label,pageId
Noble Truth of Dukkha,Noble Truth of Dukkha,:1st_noble_truth
Noble Truth of Origin,Noble Truth of Origin,:2nd_noble_truth
4 Noble Truths,4 Noble Truths,:4_noble_truths
6 Gradual Trainings,6 Gradual Trainings,:6_gradual_trainings
Noble Eightfold Path,Noble Eightfold Path,:8_fold_path
Noble Truth of Cessation,Noble Truth of Cessation,:cessation
Concentration,Concentration,:concentration
Discernement,Discernement,:discernement
Drawbacks,Drawbacks,:drawbacks
Exclude,Exclude,:exclude
Generosity,Generosity,:generosity
Heaven,Heaven,:heaven
Network,Network,:network
Renunciation,Renunciation,:renunciation
Right Action,Right Action,:right_action
Right Concentration,Right Concentration,:right_concentration
Right Effort,Right Effort,:right_effort
Right Livelihood,Right Livelihood,:right_livelihood
Right Mindfulness,Right Mindfulness,:right_mindfulness
Right Resolve,Right Resolve,:right_resolve
Right Speech,Right Speech,:right_speech
Right View,Right View,:right_view
Fractal Dhamma,Fractal Dhamma,:start
Virtue,Virtue,:virtue
